station;tag;lat;lon;height
Alert;ALE;82.49;-62.42;127
AliceSprings;ASP;-23.798;133.888;547
Barrow;BAR;71.323;-156.607;8
Bermuda;BER;32.267;-64.667;8
Billings;BIL;36.605;-97.516;317
Bondville;BON;40.0667;-88.3667;213
Boulder;BOU;40.05;-105.007;1577
Boulder;BOS;40.125;-105.237;1689
Brasilia;BRB;-15.601;-47.713;1023
Cabauw;CAB;51.9711;4.9267;0
Camborne;CAM;50.2167;-5.3167;88
CapeBaranova;CAP;79.27;101.75; 
Carpentras;CAR;44.083;5.059;100
Cener;CNR;42.816;-1.601;471
ChesapeakeLight;CLH;36.905;-75.713;37
CocosIsland;COC;-12.193;96.835;6
ConcordiaStation;DOM;-75.1;123.383;3233
Darwin;DAR;-12.425;130.891;30
DarwinMetOffice;DWN;-12.424;130.8925;32
DeAar;DAA;-30.6667;23.993;1287
DesertRock;DRA;36.626;-116.018;1007
DongshaAtoll;DON;20.7;116.73; 
EasternNorthAtlantic;ENA;39.0911;-28.0292;15
Eureka;EUR;79.989;-85.9404;85
Florianopolis;FLO;-27.6047;-48.5227;11
FortPeck;FPE;48.3167;-105.1;634
Fukuoka;FUA;33.5822;130.3764;3
Gandhinagar;GAN;23.1101;72.6276;65
Neumayer;GVN;-70.65;-8.25;42
Gobabeb;GOB;-23.5614;15.042;407
GoodwinCreek;GCR;34.2547;-89.8729;98
Gurgaon;GUR;28.4249;77.156;259
Howrah;HOW;22.5535;88.3064;51
Ilorin;ILO;8.5333;4.5667;350
Ishigakijima;ISH;24.3367;124.1644;6
Izaña;IZA;28.3093;-16.4993;2373
Kwajalein;KWA;8.72;167.731;10
LangleyResearchCenter;LRC;37.1038;-76.3872;3
Lauder;LAU;-45.045;169.689;350
Lerwick;LER;60.1389;-1.1847;80
Lindenberg;LIN;52.21;14.122;125
Lulin;LLN;23.4686;120.8736;2862
Minamitorishima;MNM;24.2883;153.9833;7
Momote;MAN;-2.058;147.425;6
NauruIsland;NAU;-0.521;166.9167;7
Newcastle;NEW;-32.8842;151.7289;18
Ny-Ålesund;NYA;78.925;11.93;11
Palaiseau;PAL;48.713;2.208;156
Payerne;PAY;46.815;6.944;491
Petrolina;PTR;-9.068;-40.319;387
Regina;REG;50.205;-104.713;578
RockSprings;PSU;40.72;-77.9333;376
RolimdeMoura;RLM;-11.582;-61.773;252
Sapporo;SAP;43.06;141.3286;17
SedeBoqer;SBO;30.8597;34.7794;500
SiouxFalls;SXF;43.73;-96.62;473
SolarVillage;SOV;24.91;46.41;650
Sonnblick;SON;47.054;12.9577;3109
SouthPole;SPO;-89.983;-24.799;2800
SouthernGreatPlains;E13;36.605;-97.485;318
Syowa;SYO;-69.005;39.589;18
SãoMartinhodaSerra;SMS;-29.4428;-53.8231;489
Tamanrasset;TAM;22.7903;5.5292;1385
Tateno;TAT;36.0581;140.1258;25
Tiksi;TIK;71.5862;128.9188;48
Tiruvallur;TIR;13.0923;79.9738;36
Toravere;TOR;58.254;26.462;70
Xianghe;XIA;39.754;116.962;32
