-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K
-----------------------------------------------------------------------------
 1000.0     70
  973.0    317   33.2   20.2     46  15.57    200     17  308.8  356.3  311.6
  968.0    363   31.4   18.4     46  13.95    199     18  307.4  349.8  310.0
  941.5    610   28.8   18.3     53  14.24    195     22  307.2  350.5  309.9
  925.0    767   27.2   18.2     58  14.43    200     23  307.1  350.9  309.8
  909.7    914   25.8   17.4     60  13.95    200     23  307.2  349.5  309.8
  878.7   1219   23.0   15.8     64  12.98    205     30  307.3  346.8  309.7
  872.0   1286   22.4   15.4     65  12.78    205     32  307.4  346.2  309.7
  850.0   1509   22.0   13.0     57  11.19    205     38  309.2  343.5  311.3
  849.0   1519   22.0   13.0     57  11.20    205     38  309.3  343.7  311.4
  848.5   1524   22.0   12.9     57  11.17    205     38  309.3  343.6  311.4
  819.1   1829   19.8    9.4     51   9.12    210     36  310.1  338.4  311.8
  806.0   1968   18.8    7.8     49   8.30    210     33  310.5  336.3  312.1
  790.4   2134   17.6    7.5     51   8.31    210     30  311.0  336.9  312.6
  762.5   2438   15.5    7.0     57   8.31    225     27  311.9  337.9  313.5
  735.5   2743   13.3    6.5     63   8.32    220     28  312.8  338.9  314.4
  709.5   3048   11.2    6.0     70   8.33    220     29  313.6  339.9  315.2
  700.0   3162   10.4    5.8     73   8.33    220     30  314.0  340.2  315.6
  662.0   3625    7.2    4.2     81   7.87    225     30  315.4  340.4  316.9
  659.3   3658    7.0    4.0     81   7.79    225     30  315.5  340.3  317.0
  611.5   4267    3.0    0.3     83   6.45    245     32  317.8  338.7  319.1
  567.1   4877   -1.0   -3.3     84   5.30    235     29  320.0  337.5  321.1
  547.0   5170   -2.9   -5.1     85   4.81    235     31  321.1  337.0  322.0
  546.2   5182   -3.0   -5.3     84   4.74    235     31  321.2  336.9  322.1
  536.0   5331   -3.7   -8.1     72   3.90    235     29  322.0  335.1  322.8
  525.0   5495   -2.7  -20.7     24   1.41    235     26  325.1  330.2  325.4
  505.7   5791   -4.7  -27.7     15   0.78    235     22  326.2  329.1  326.3
  502.0   5849   -5.1  -29.1     13   0.69    238     22  326.4  329.0  326.5
  500.0   5880   -5.3  -28.3     15   0.75    240     22  326.5  329.3  326.7
  486.3   6096   -6.6  -25.7     20   0.97    240     23  327.5  331.1  327.7
  467.7   6401   -8.5  -22.1     33   1.40    250     25  328.8  334.0  329.1
  456.0   6598   -9.7  -19.7     44   1.77    251     26  329.7  336.1  330.1
  417.0   7284  -13.3  -22.3     47   1.54    254     29  333.6  339.3  333.9
  400.0   7600  -15.9  -24.9     46   1.28    255     31  334.2  339.0  334.5
  399.0   7619  -16.1  -24.1     50   1.37    255     31  334.2  339.3  334.5
  398.9   7620  -16.1  -24.1     50   1.37    255     31  334.2  339.3  334.5
  396.0   7676  -16.3  -26.3     42   1.13    254     31  334.7  338.9  334.9
  394.0   7714  -16.7  -22.7     60   1.58    253     31  334.6  340.5  335.0
  383.0   7925  -18.6  -22.9     68   1.59    250     32  334.9  340.8  335.2
  372.0   8143  -20.5  -23.2     79   1.60    256     30  335.1  341.0  335.5
  361.0   8365  -22.1  -27.0     64   1.17    262     29  335.9  340.3  336.1
  338.2   8839  -26.1  -29.4     73   1.00    275     25  336.8  340.6  337.0
  324.3   9144  -28.6  -31.0     80   0.90    275     29  337.3  340.8  337.5
  324.0   9151  -28.7  -31.0     81   0.89    275     29  337.3  340.8  337.5
  316.0   9330  -29.9  -35.9     56   0.57    278     34  338.1  340.3  338.2
  314.0   9376  -30.1  -42.1     30   0.30    279     35  338.4  339.6  338.5
  312.0   9421  -30.1  -58.1      5   0.05    280     36  339.0  339.2  339.0
  308.0   9513  -30.7  -52.7     10   0.09    282     38  339.4  339.8  339.4
  307.0   9536  -30.9  -36.9     56   0.53    282     39  339.5  341.6  339.6
  305.0   9583  -31.1  -35.9     63   0.59    283     40  339.8  342.2  339.9
  303.0   9629  -30.7  -40.7     37   0.36    284     41  341.0  342.5  341.1
  300.0   9700  -31.3  -41.3     37   0.34    285     43  341.1  342.6  341.2
  297.7   9754  -31.6  -44.7     26   0.24    285     44  341.5  342.5  341.5
  292.0   9890  -32.3  -53.3     11   0.09    286     44  342.4  342.8  342.4
  260.9  10668  -39.4  -54.0     20   0.10    295     42  343.1  343.6  343.1
  254.0  10853  -41.1  -54.1     23   0.10    292     45  343.3  343.7  343.3
  250.0  10960  -41.5  -56.5     18   0.07    290     47  344.2  344.6  344.2
  218.0  11876  -48.5  -68.5      8   0.02    299     57  347.1  347.2  347.1
  213.0  12028  -49.7  -61.7     23   0.04    301     58  347.6  347.8  347.6
  208.0  12184  -49.3  -75.3      3   0.01    302     60  350.6  350.6  350.6
  200.0  12440  -50.9  -73.9      5   0.01    305     63  352.0  352.1  352.0
  199.0  12472  -51.1  -73.9      5   0.01    305     63  352.1  352.2  352.1
  188.9  12802  -53.7  -74.3      6   0.01    305     63  353.3  353.4  353.3
  161.0  13815  -61.5  -75.5     14   0.01    302     57  356.6  356.7  356.6
  158.0  13931  -62.5  -79.5      9   0.00    301     57  356.9  356.9  356.9
  150.0  14250  -64.3  -81.3      8   0.00    300     55  359.1  359.1  359.1
  127.0  15240  -70.1  -86.1      8   0.00    305     43  366.1  366.1  366.1
  114.6  15850  -73.7  -89.0      8   0.00    285     40  370.3  370.3  370.3
  109.0  16150  -75.5  -90.5      8   0.00                372.3  372.3  372.3
  105.0  16366  -75.3  -89.3     10   0.00                376.7  376.7  376.7
