H2O;TEMP_CORRECTION;midlatitude-summer;midlatitude-winter;subarctic-summer;subarctic-winter;tropical;
108145.456761;-20.0;2101.94943887;1940.48908851;2075.31807942;1795.83762359;2109.85544474;
108145.456761;-19.0;4172.20477363;4043.83016871;4172.2016475;3884.08288426;4149.40736123;
108145.456761;-18.0;6251.34075254;6153.29812558;6261.608871;5984.34887603;6217.84724158;
108145.456761;-17.0;7950.66888659;7994.31362637;7972.40570599;7947.18767531;7901.38875595;
108145.456761;-16.0;9654.31099746;9614.19050815;9681.28268483;9475.00094569;9581.28500081;
108145.456761;-15.0;11445.9816653;11431.9973286;11510.9405839;11242.0377864;11394.9629444;
108145.456761;-14.0;13450.1235497;13413.9789783;13516.094703;13209.9343778;13386.408475;
108145.456761;-13.0;15480.4479158;15413.9107682;15529.054799;15211.6384712;15405.6258807;
108145.456761;-12.0;17506.0723361;17419.8932671;17535.8060965;17213.0059263;17422.7481302;
108145.456761;-11.0;19516.1443046;19420.6107248;19537.3853441;19213.7307643;19436.522159;
108145.456761;-10.0;21558.3526569;21434.0304788;21566.7361603;21234.3665479;21470.5417631;
108145.456761;-9.0;23598.7362729;23457.2659369;23603.9537615;23256.1744512;23495.1589515;
108145.456761;-8.0;25621.6269542;25486.4777147;25642.1467061;25276.2998958;25520.4290976;
108145.456761;-7.0;27649.9465197;27520.2768488;27678.602558;27303.1237207;27566.8672691;
108145.456761;-6.0;29693.4274117;29557.4409468;29713.8575205;29337.9827056;29613.4571644;
108145.456761;-5.0;31737.6964515;31598.6176971;31758.5059893;31381.3327055;31661.3012279;
108145.456761;-4.0;33797.7856004;33647.8002591;33812.7595563;33428.2593232;33734.411969;
108145.456761;-3.0;35862.4274008;35707.0567024;35871.3063576;35481.1702757;35814.2534405;
108145.456761;-2.0;37936.4992639;37772.8815151;37936.3120857;37541.3358288;37890.7895767;
108145.456761;-1.0;40017.5928148;39845.3350933;40009.4642871;39611.4461253;39980.089058;
108145.456761;0.0;42104.9437054;41924.5405158;42084.6261506;41684.4984485;42073.3573574;
108145.456761;1.0;44196.5003699;44008.8940389;44169.5065151;43767.347109;44172.0925573;
108145.456761;2.0;46292.1542183;46106.0695042;46263.554065;45859.209925;46278.3174471;
108145.456761;3.0;48399.6357019;48210.7521056;48363.7766207;47958.7100104;48389.5816328;
108145.456761;4.0;50512.751479;50323.1830197;50471.4204868;50066.1023659;50506.9285182;
108145.456761;5.0;52632.5113272;52442.64356;52587.775855;52182.4803728;52629.7833734;
108145.456761;6.0;54759.2025935;54569.2315232;54712.6054119;54304.5329261;54759.2013484;
108145.456761;7.0;56877.0019234;56686.565632;56829.7230948;56422.2400638;56879.3527368;
108145.456761;8.0;59017.2818224;58829.2760483;58970.3086177;58563.43488;59021.7568743;
108145.456761;9.0;61165.4381878;60981.1270072;61113.3552002;60709.0600809;61168.972595;
108145.456761;10.0;63319.8133038;63143.0438026;63260.2321325;62865.7504441;63324.2529665;
108145.456761;11.0;65482.1087568;65313.5331784;65420.2163773;65030.5126808;65486.126082;
108145.456761;12.0;67653.2838613;67491.2754436;67590.5018178;67205.4464875;67655.6967264;
108145.456761;13.0;69831.48509;69677.4211499;69767.8136912;69384.2518401;69833.9151384;
108145.456761;14.0;72018.2075498;71869.6477103;71953.8354068;71576.233767;72016.3431641;
108145.456761;15.0;74214.7934962;74066.8681398;74148.9494291;73777.1688393;74208.6882752;
108145.456761;16.0;76415.0178063;76268.0991955;76349.1964987;75982.6841536;76410.6802815;
108145.456761;17.0;78625.6490699;78485.8331863;78559.1682207;78198.9598963;78617.8602865;
108145.456761;18.0;80844.9016013;80712.365488;80778.0830754;80424.0105542;80835.1091951;
108145.456761;19.0;83071.4260292;82945.1137697;83003.3686687;82658.8461289;83061.2597017;
108145.456761;20.0;85305.9815747;85187.2782813;85238.0205206;84900.1763614;85295.3942916;
